"GenotypicCorrelation.Var1","GenotypicCorrelation.Var2","GenotypicCorrelation.Freq","Note1","Note2"
"D50%SE","EH","131.6215 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"LL","EH","96.778 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"LW","EH","NaN","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"NL","EH","85.0774 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"TL","EH","138.3758 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"PLH","EH","78.081 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"EH","EH","51.3552 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"ELoP","EH","62.9991 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"ELwH","EH","74.1117 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"LoP","EH","41.506 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"EDwH","EH","80.4218 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"NRG","EH","151.486 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"EWwH","EH","31.2667 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"EW","EH","30.1978 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"NoPN","EH","106.072 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"KL","EH","121.576 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"KW","EH","121.1232 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"SW","EH","28.8921 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"TSWpP","EH","28.8428 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"100SW","EH","45.5383 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"1000SW","EH","72.5405 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"KT","EH","326.6 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"D50%A","ELoP","181.3912 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"D50%SE","ELoP","167.2421 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"LL","ELoP","125.3205 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"LW","ELoP","NaN","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"NL","ELoP","108.3104 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"TL","ELoP","178.9991 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"PLH","ELoP","98.9176 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"EH","ELoP","62.9991 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"ELoP","ELoP","83.1874 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"ELwH","ELoP","97.4392 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"LoP","ELoP","54.7407 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"EDwH","ELoP","105.7172 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"NRG","ELoP","196.715 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"EWwH","ELoP","41.6398 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"EW","ELoP","40.7628 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"NoPN","ELoP","137.4275 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"KL","ELoP","162.9404 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"KW","ELoP","158.2184 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"SW","ELoP","39.3736 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"TSWpP","ELoP","39.2349 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"100SW","ELoP","59.956 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"1000SW","ELoP","93.1292 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"KT","ELoP","428.1624 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"D50%A","ELwH","215.278 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"D50%SE","ELwH","198.7237 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"LL","ELwH","147.8672 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"LW","ELwH","NaN","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"NL","ELwH","127.7122 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"TL","ELwH","211.2624 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"PLH","ELwH","116.001 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"EH","ELwH","74.1117 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"ELoP","ELwH","97.4392 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"ELwH","ELwH","115.1132 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"LoP","ELwH","62.65 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"EDwH","ELwH","124.6118 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"NRG","ELwH","232.0343 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"EWwH","ELwH","48.6509 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"EW","ELwH","47.8125 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"NoPN","ELwH","161.7772 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"KL","ELwH","191.0347 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"KW","ELwH","187.1044 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"SW","ELwH","46.1214 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"TSWpP","ELwH","45.917 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"100SW","ELwH","70.8641 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"1000SW","ELwH","110.147 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"KT","ELwH","504.4098 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"D50%A","LoP","118.0103 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"D50%SE","LoP","108.8957 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"LL","LoP","81.8086 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"LW","LoP","NaN","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"NL","LoP","70.9177 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"TL","LoP","116.1618 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"PLH","LoP","64.7759 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"EH","LoP","41.506 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"ELoP","LoP","54.7407 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"ELwH","LoP","62.65 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"LoP","LoP","37.5198 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"EDwH","LoP","68.3348 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"NRG","LoP","128.6578 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"EWwH","LoP","26.6804 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"EW","LoP","25.904 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"NoPN","LoP","89.7955 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"KL","LoP","105.9529 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"KW","LoP","101.9872 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"SW","LoP","25.036 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"TSWpP","LoP","24.9625 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"100SW","LoP","38.1196 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"1000SW","LoP","59.8018 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"KT","LoP","278.997 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"D50%A","EDwH","235.0092 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"D50%SE","EDwH","216.3011 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"LL","EDwH","161.2528 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"LW","EDwH","NaN","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"NL","EDwH","139.6455 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"TL","EDwH","231.3793 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"PLH","EDwH","126.7018 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"EH","EDwH","80.4218 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"ELoP","EDwH","105.7172 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"ELwH","EDwH","124.6118 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"LoP","EDwH","68.3348 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"EDwH","EDwH","138.2044 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"NRG","EDwH","257.1702 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"EWwH","EDwH","52.8437 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"EW","EDwH","52.6358 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"NoPN","EDwH","176.8349 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"KL","EDwH","208.7641 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"KW","EDwH","205.4365 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"SW","EDwH","51.0704 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"TSWpP","EDwH","50.8763 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"100SW","EDwH","77.9063 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"1000SW","EDwH","120.5431 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"KT","EDwH","554.0778 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"D50%A","NRG","444.7272 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"D50%SE","NRG","408.87 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"LL","NRG","301.5899 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"LW","NRG","NaN","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"NL","NRG","262.0765 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"TL","NRG","434.5912 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"PLH","NRG","237.5388 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"EH","NRG","151.486 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"ELoP","NRG","196.715 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"ELwH","NRG","232.0343 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"LoP","NRG","128.6578 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"EDwH","NRG","257.1702 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"NRG","NRG","486.0463 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"EWwH","NRG","94.8058 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"EW","NRG","94.1905 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"NoPN","NRG","334.1518 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"KL","NRG","388.4602 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"KW","NRG","382.5738 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"SW","NRG","91.5014 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"TSWpP","NRG","91.1515 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"100SW","NRG","141.7996 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"1000SW","NRG","223.5788 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"KT","NRG","1043.1889 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"D50%A","EWwH","88.0087 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"D50%SE","EWwH","81.452 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"LL","EWwH","62.0904 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"LW","EWwH","NaN","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"NL","EWwH","53.8753 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"TL","EWwH","88.2303 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"PLH","EWwH","49.1272 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"EH","EWwH","31.2667 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"ELoP","EWwH","41.6398 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"ELwH","EWwH","48.6509 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"LoP","EWwH","26.6804 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"EDwH","EWwH","52.8437 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"NRG","EWwH","94.8058 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"EWwH","EWwH","22.442 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"EW","EWwH","21.9475 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"NoPN","EWwH","67.9407 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"KL","EWwH","80.9318 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"KW","EWwH","78.3589 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"SW","EWwH","21.2641 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"TSWpP","EWwH","21.2204 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"100SW","EWwH","31.2508 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"1000SW","EWwH","46.9134 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"KT","EWwH","208.3017 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"D50%A","EW","85.8557 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
